NUMBER	ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
143	daughter	daughter	1357	DAUGHTER
144	daughter.in.law	daughter in law	1057	DAUGHTER-IN-LAW
145	dawn..before.sunrise	dawn (before sunrise)	729	DAWN
146	day::time	daytime	1225	DAY (NOT NIGHT)
147	deaf:to.be	to be deaf	996	DEAF
148	deep:to.be	to be deep	1593	DEEP
149	deer..general	deer (general)	1936	DEER
150	descend..climb.down:to	to descend (climb down)	2014	GO DOWN (DESCEND)
151	dew	dew	1977	DEW
152	die:to	to die	1494	DIE
153	difficult..hard:to.be	to be difficult (hard)	584	DIFFICULT
154	dig:to	to dig	1418	DIG
155	dirty:to.be	to be dirty	1230	DIRTY
156	dive:to	to dive	119	DIVE
157	dog	dog	2009	DOG
158	door::way	doorway	1567	DOOR
159	dove	dove	1853	DOVE
160	dream	dream	–	–
161	drink:to	to drink	1401	DRINK
162	drum	drum	908	DRUM
163	drunk:to.be	to be drunk	1463	DRUNK
164	dry..in.sun:to	to dry (in sun)	1398	DRY
165	duck	duck	1360	DUCK
166	dust	dust	2	DUST
167	ear	ear	1247	EAR
168	ear..of.grain	ear (of grain)	–	–
169	east	east	1877	EAST
170	easy:to.be	to be easy	686	EASY
171	eat..general:to	to eat (general)	1336	EAT
172	egg..general	egg (general)	744	EGG
173	eggplant..brinjal	eggplant (brinjal)	1146	AUBERGINE
174	elephant	elephant	1290	ELEPHANT
175	embrace..hug:to	to embrace (hug)	928	EMBRACE
176	emerge:to	to emerge	1076	EMERGE (APPEAR)
177	empty:to.be	to be empty	1624	EMPTY
178	enter:to	to enter	749	ENTER
179	ereyesterday	ereyesterday	1180	DAY BEFORE YESTERDAY
180	evening	evening	1629	EVENING
181	extinguish..fire:to	to extinguish (fire)	127	EXTINGUISH
182	eye	eye	1248	EYE
183	eye::brow	eyebrow	1173	EYEBROW
184	eye::lid	eyelid	17	EYELID
185	face	face	1560	FACE
186	faeces..excrement	faeces (excrement)	675	FAECES (EXCREMENT)
187	fall.down..of.objects:to	to fall down (of objects)	1280	FALL
188	far:to.be	to be far	1406	FAR
189	fast:to.be	to be fast	1631	FAST
190	fat..substance	fat (substance)	323	FAT (ORGANIC SUBSTANCE)
191	fat:to.be	to be fat	1279	FAT (OBESE)
192	father	father	1217	FATHER
193	father.in.law	father in law	–	–
194	fear:to	to fear	1419	FEAR (BE AFRAID)
195	feather	feather	1201	FEATHER
196	fence	fence	1690	FENCE
197	fern..general	fern (general)	–	–
198	fern:fiddle.head	fiddle head fern	–	–
199	festival	festival	131	FESTIVAL
200	few.in.number:to.be	to be few in number	1242	FEW
201	field..general	field (general)	212	FIELD
202	field:jhum	jhum field	2794	FIELD (UPLAND)
203	field:paddy	paddy field	140	PADDY FIELD
204	finger	finger	1303	FINGER
205	finger.:thumb	thumb	1781	THUMB
206	finger::nail	fingernail	1258	FINGERNAIL
207	fire	fire	221	FIRE
208	fire::place..hearth	fireplace (hearth)	185	FIREPLACE
209	fire::wood	firewood	10	FIREWOOD
210	firefly	firefly	206	FIREFLY
211	fish	fish	227	FISH
212	fish:fermented	fermented fish	–	–
213	flee..run.away:to	to flee (run away)	956	FLEE
214	float:to	to float	1574	FLOAT
215	flood:to	to flood	–	–
216	flow..of.water:to	to flow (of water)	2003	FLOW
217	flower	flower	239	FLOWER
218	fly:to	to fly	1441	FLY (MOVE THROUGH AIR)
219	fog..mist	fog (mist)	249	FOG
220	forest	forest	420	FOREST
221	forget:to	to forget	1523	FORGET
222	fox	fox	1312	FOX
223	friend	friend	1325	FRIEND
224	frog	frog	503	FROG
225	fruit	fruit	1507	FRUIT
226	full..container:to.be	to be full (container)	1429	FULL
227	full.:satiated:to.be	to be satiated	106	SATIATED
228	garlic	garlic	2368	GARLIC
229	ghost..of.deceased	ghost (of deceased)	1175	GHOST
230	ginger	ginger	2500	GINGER
231	girl:young	young girl	–	–
232	give:to	to give	1447	GIVE
233	go..general:to	to go (general)	695	GO
234	goat	goat	1502	GOAT
235	gold	gold	1369	GOLD
236	gong	gong	2502	GONG
237	good:to.be	to be good	1035	GOOD
238	goose	goose	1187	GOOSE
239	granddaughter	granddaughter	1619	GRANDDAUGHTER
240	grandfather	grandfather	1383	GRANDFATHER
241	grandmother	grandmother	1496	GRANDMOTHER
242	grandson	grandson	1618	GRANDSON
243	grass	grass	606	GRASS
244	grasshopper	grasshopper	607	GRASSHOPPER
245	grind:to	to grind	354	POUND
246	gums	gums	139	GUMS
247	gun	gun	1566	GUN
248	hail..precipitation	hail (precipitation)	609	HAIL
249	hair..of.body	hair (of body)	580	FUR
